line: cmpptgjc3qhcjxcbcqgqkxhrms -- first: 3, second: 3
line: 154nfzx6bxmxb4cpj -- first: 1, second: 4
line: 5qfknfrhdmr7tffjrzzpctwotwo1 -- first: 5, second: 1
line: fourjdfgcqzfdgzlhshcxthree3 -- first: 4, second: 3
line: glpxpm5qtmsft7vxhvmmgxjpk -- first: 5, second: 7
line: 4threehddfnntzkktwo -- first: 4, second: 2
line: eight6tlkmmncfour8eightfivenine -- first: 8, second: 9
line: sixseventhreens2bgdseven5 -- first: 6, second: 5
line: three6three -- first: 3, second: 3
line: qmbfjthreebxf83ninesflzljgrxrv -- first: 3, second: 9
line: seven8six -- first: 7, second: 6
line: rpzls2threetwo53tttgfc -- first: 2, second: 3
line: 7ln -- first: 7, second: 7
line: sevenseven482seven -- first: 7, second: 7
line: lkmvnjmhzhseven2jxsix8 -- first: 7, second: 8
line: oneninelttqjtbgmpq8 -- first: 1, second: 8
line: 95twopqmf -- first: 9, second: 2
line: 9onevmdkrdbntbrgmqhktszxmzjvpdv -- first: 9, second: 1
line: 5h4rnhknfeight7 -- first: 5, second: 7
line: 1nine9xgvph1lnbjdnmhhfour -- first: 1, second: 4
line: cfhkhgzjtwo23ffqng1 -- first: 2, second: 1
line: five23six -- first: 5, second: 6
line: five29ctdtwoqqkf2one -- first: 5, second: 1
line: fourdfive1jqhmbfqjx1 -- first: 4, second: 1
line: 5one5jrsteight -- first: 5, second: 8
line: tlkggjmtfxblz9nine7one -- first: 9, second: 1
line: 89nine2 -- first: 8, second: 2
line: tbhtxtvsqfmlnbsdghcrqtjgzone6ninethree -- first: 1, second: 3
line: gknxrgpj3mvrplvf -- first: 3, second: 3
line: twombndtlxdxk5qhj1 -- first: 2, second: 1
line: fourfourlrcn6 -- first: 4, second: 6
line: r926 -- first: 9, second: 6
line: one2727threepzz23 -- first: 1, second: 3
line: zbzb8lgsgrkqcnm -- first: 8, second: 8
line: 2p1nggbmpklvfivethree8 -- first: 2, second: 8
line: 3szfjrv -- first: 3, second: 3
line: 75447 -- first: 7, second: 7
line: 1fourthreesix6 -- first: 1, second: 6
line: 2mjqdspnmvccpzthree1twofour -- first: 2, second: 4
line: 6two7krbnzm5 -- first: 6, second: 5
line: dkmmzhbvq3three6threeqgcfgkv -- first: 3, second: 3
line: gt7 -- first: 7, second: 7
line: fivefiveone64 -- first: 5, second: 4
line: klphjpv4one3cmlcrfk -- first: 4, second: 3
line: xone44 -- first: 1, second: 4
line: 6eightninevkmlrxcht5 -- first: 6, second: 5
line: 6dhmzsixthreetwo3one -- first: 6, second: 1
line: 8twosvdmcntf1hfive393 -- first: 8, second: 3
line: 8gqggmssjgjfive6gvgtqhhxpmzmzrone -- first: 8, second: 1
line: two17nxbvqqdgcbjhsmdbdclnkzgbzjmcsfgnine2 -- first: 2, second: 2
line: sixeightfive3sdtwo -- first: 6, second: 2
